0; 22-ой машинист Карабин на перегоне Красногвардеец- 2 Погромное 2422 Карабин, слушает Вас Здравствуйте, машинист. Не затягивайтесь, хорошо. До станции Сорочинская проедьте, пожалуйста. По Тоцкой по первому пути будет ехать ДНЦ Бахтинова Понятно. С Тоцкой по первому пути до Сорочинск максимально допустимой следуем Бахтинова Карабин
1; Машинист поезда 22-го на приближении к станции Погромное (или Красногвардеец- 2 Погромное). ДНЦ Бахтинова 22-ой машинист Карабин, слушает Вас
0; На 3-ем Заливное подтянули вплотную к сигналу Н-3? Да, вплотную встали. Перекрывайте. Машинист Глошев Понятно, перекрываю сигнал. 8:34 прибытие 
1; Машинист поезда на 3-ем пути станции Заливное. Машинист поезда на 3-м пути станции Заливное, Глошев. Слушаю вас. Машинист поезда Подтянули вплотную к сигналу Н-3? Да, вплотную встали. Перекрывайте сигнал Н-3. Машинист Глошев. Понятно, перекрываю сигнал Н-3 Прибытие 8:34 Понятно. Прибытие 8:34
0; Машинист поезда 4392 Трифонов, диспетчеру ответьте 4392 машинист Трифонов проследую 2276 пост, слушаю вас У нас на входной Ч открыт на второй путь, на выход сигнал Ч-2 закрыт, на стоянку пропускаем нечетное ДНЦ 4392 машинист Трифонов следует на станцию Лабазу по 277 км, я вас понял. Лабазу сигнал Ч открыт, на второй главный свободный, Ч-2 сигнал закрыт. Скрещение с нечетным. Машинист Трифонов принял. Верно, выполняйте Выполняем
1; Машинист поезда 4392 на приближении к станции «К», Машинист поезда 4392 Трифонов, слушаю вас, На станцию «К» прибываете на второй путь, входной светофор открыт, выходной сигнал Ч-2 закрыт (запрещающий). ДНЦ Петрова, Понятно, принимаете на второй путь, выходной сигнал Ч-2 закрыт (запрещающий),машинист 4392 Трифонов, Верно или верно выполняйте
0; 3576 у входного станции Есаульская, ответьте поездному 3576 на перегоне Ишалино Есаульская, у входного станции Есаульская, машинист Васильев, слушаю вас Машинист до Шагла разгоняемся, проходы оперативнее делаем, на скрещение с Орланом будем по станции Шагол Понятно, скрещение с Орланом по станции Шагол 3576 машинист Васильев
1; Машинист поезда 3576 у входного станции Есаульская Слушая вас, машинист 3576 Васильев Машинист 3576 по станции Шагол  проследовать на 10:20, скрещение с Орланом. ДНЦ ФИО Понятно, по станции Шагол проследовать на 10:20 , скрещение с Орланом машинист Васильев Верно или верно выполняйте
0; 2675 Лебяже-Сибирская Кравцево 2675  машинист Гибриткин на 2632 км, слушаю  Машинист, здравствуйте, поездной диспетчер. Впереди полностью перегон свободен. Пожалуйста, максимальную скорость надо выдерживать 6,08, за вами еще куча-куча поездов 2675 машинист Гибриткин, понятно скорость максимальную выдерживаем 6,08. Кравцева. За нами куча поездов Верно все, стараемся, пожалуйста, 6,08 пройти
1; Машинист поезда 2675 на перегоне Лебяжья-Сибирская Кравцево машинист 2675  Гибриткин, слушаю Машинист 2675 следуем максимально по станции Кравцево проследовать 13:20, за вами пакет нечетных поездов, ДНЦ Фамилия Понятно. Следую максимально допустимо по станции Крацево проследовать в 13:20, за нами пакет нечетных. машинист 2675 Гибриткин Верно или верно выполняйте
0; Мая 2024 время на часах 5 часов 2 минуты, перегон Тамерлан-Тумак, нечетный путь 107ой км, пикет 6-ой, скорость всем поездам 60, перекос пути. 22 на 15, передал ПС Синьков Понятно, телефонограмма номер 9, время  5 часов 02 минуты, перегон Тамерлан-Тумак, нечетный путь, 107 км, пикет 6ой, всем поездам скорость 60 км в час, перекос пути, передал ПС Синьков, приняла ДНЦ Бочкарева Все верно, спасибо
1; Диспетчер Слушаю, диспетчер. Бочкарева Телефонограмма номер 9 от 02.05.2024 г, время  5 часов 02 минуты, перегон Тамерлан-Тумак, нечетный путь, 107 км, пикет 6-ой, всем поездам скорость 60 км в час, перекос пути, передал ПС Синьков Понятно, телефонограмма номер 9 от 02.05.2024 г. , время  5 часов 02 минуты, перегон Тамерлан-Тумак, нечетный путь, 107 км, пикет 6-ой, всем поездам скорость 60 км в час, перекос пути, передал ПС Синьков, приняла ДНЦ Бочкарева Верно
